Postcode area,Area covered,UK region
B,Birmingham,West Midlands
BA,Bath,South West
BB,Blackburn,North West
BD,Bradford,North West
BH,Bournemouth,South West
BL,Bolton,North West
BN,Brighton,South East
BR,Bromley,Greater London
BS,Bristol,South West
CA,Carlisle,North West
CB,Cambridge,East of England
CH,Chester,Wales
CM,Chelmsford,East of England
CO,Colchester,East of England
CR,Croydon,South East
CT,Canterbury,South East
CV,Coventry,West Midlands
CW,Crewe,North West
DA,Dartford,South East
DE,Derby,West Midlands
DH,Durham,North East
DL,Darlington,North East
DN,Doncaster,Yorkshire and the Humber
DT,Dorchester,South West
DY,Dudley,West Midlands
E,East London,Greater London
EC,Central London,Greater London
EN,Enfield,East of England
EX,Exeter,South West
FY,Blackpool,North West
GL,Gloucester,South West
GU,Guildford,South East
HA,Harrow,Greater London
HD,Huddersfield,Yorkshire and the Humber
HG,Harrogate,Yorkshire and the Humber
HP,Hemel Hempstead,South East
HR,Hereford,Wales
HU,Hull,Yorkshire and the Humber
HX,Halifax,Yorkshire and the Humber
IG,Ilford,Greater London
IP,Ipswich,East of England
KT,Kingston upon Thames,South East
L,Liverpool,North West
LA,Lancaster,North West
LE,Leicester,East Midlands
LN,Lincoln,East Midlands
LS,Leeds,Yorkshire and the Humber
LU,Luton,South East
M,Manchester,North West
ME,Rochester,South East
MK,Milton Keynes,South East
N,North London,Greater London
NE,Newcastle upon Tyne,North East
NG,Nottingham,East Midlands
NN,Northampton,East Midlands
NR,Norwich,East of England
NW,North West London,Greater London
OL,Oldham,North West
OX,Oxford,South West
PE,Peterborough,East Midlands
PL,Plymouth,South West
PO,Portsmouth,South East
PR,Preston,North West
RG,Reading,South East
RH,Redhill,South East
RM,Romford,East of England
S,Sheffield,Yorkshire and the Humber
SE,South East London,Greater London
SG,Stevenage,East of England
SK,Stockport,North West
SL,Slough,South East
SM,Sutton,South East
SN,Swindon,South West
SO,Southampton,South East
SP,Salisbury,South West
SR,Sunderland,North East
SS,Southend-on-Sea,East of England
ST,Stoke-on-Trent,West Midlands
SW,South West London,Greater London
SY,Shrewsbury,Wales
TA,Taunton,South West
TF,Telford,West Midlands
TN,Tonbridge,South East
TQ,Torquay,South West
TR,Truro,South West
TS,Cleveland,North East
TW,Twickenham,South East
UB,Southall,Greater London
W,West London,Greater London
WA,Warrington,North West
WC,Central London,Greater London
WD,Watford,East of England
WF,Wakefield,Yorkshire and the Humber
WN,Wigan,North West
WR,Worcester,West Midlands
WS,Walsall,West Midlands
WV,Wolverhampton,West Midlands
YO,York,Yorkshire and the Humber
