uk_region,postcode,latitude,longitude,region,population,energy (kcal),delta (kcal),% fat,% carbohydrate,% protein
Scotland,AB10,57.13514,-2.11731,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB11,57.13875,-2.09089,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB12,57.101,-2.1106,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB13,57.10801,-2.23776,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB14,57.10076,-2.27073,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB15,57.13868,-2.16525,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB16,57.16115,-2.15543,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB21,57.2096,-2.20033,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB22,57.18724,-2.11913,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB23,57.21242,-2.08776,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB24,57.16284,-2.11228,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB25,57.15311,-2.11241,Aberdeen City,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB30,56.84678,-2.47712,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB31,57.07479,-2.52623,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB32,57.15545,-2.31742,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB33,57.22464,-2.74203,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB34,57.09393,-2.81204,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB35,57.03829,-3.14869,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB36,57.19715,-3.06589,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB37,57.33098,-3.35051,Moray,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB38,57.48589,-3.2261,Moray,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB39,56.97778,-2.21718,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB41,57.37592,-2.10478,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB42,57.50079,-1.88819,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB43,57.65714,-2.04358,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB44,57.66877,-2.49122,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB45,57.65139,-2.56639,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB51,57.28907,-2.40485,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB52,57.34396,-2.60651,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB53,57.52537,-2.3941,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB54,57.45361,-2.76333,Aberdeenshire,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB55,57.5239,-2.99024,Moray,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
Scotland,AB56,57.67442,-2.92559,Moray,5466000,1874.016939,375.9830613,38.50325369,47.17319964,14.21743137
East of England,AL1,51.74836,-0.32237,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,AL10,51.75958,-0.2292,Hertfordshire,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
